category      ==>  label
24            ==>     17
25            ==>     18
26            ==>     19
27            ==>     20
20            ==>     13
21            ==>     14
22            ==>     15
23            ==>     16
28            ==>     21
29            ==>     22
1             ==>      1
0             ==>      0
3             ==>     23
2             ==>     12
5             ==>     33
4             ==>     32
7             ==>     35
6             ==>     34
9             ==>     37
8             ==>     36
11            ==>      3
10            ==>      2
13            ==>      5
12            ==>      4
15            ==>      7
14            ==>      6
17            ==>      9
16            ==>      8
19            ==>     11
18            ==>     10
31            ==>     25
30            ==>     24
37            ==>     31
36            ==>     30
35            ==>     29
34            ==>     28
33            ==>     27
32            ==>     26
